Zip,Total-Population,Hispanic,White,Black,Native,Asian,Other,Total,Diversity Index,Year,City
76574,17213,35.3,54,8.6,0,1.8,0.3,100,0.576062,2011,Taylor
76574,17775,34.5,53.6,8.9,0,2,1,100,0.585258,2012,Taylor
76574,18037,36.8,51.1,9.8,0,0.2,2.2,100.1,0.593363,2013,Taylor
76574,18135,35.3,51.9,9.9,0,0.4,2.5,100,0.595588,2014,Taylor
76574,18281,41.4,46,9.6,0.1,0.7,2.1,99.9,0.607297,2015,Taylor
76574,18502,35.4,49.3,11.2,0.1,0.8,3.2,100,0.618002,2016,Taylor
76574,18939,40.3,47.2,9.3,0.1,0.6,2.6,100.1,0.605445,2017,Taylor
78602,24532,21.8,65.8,9.7,0.2,0.8,1.6,99.9,0.509779,2011,Bastrop
78602,25594,23.3,64.5,9.2,0.4,0.8,1.8,100,0.520818,2012,Bastrop
78602,26278,26,61.8,8.9,0.4,0.9,1.9,99.9,0.542097,2013,Bastrop
78602,25444,26.5,61.8,8.4,0.9,1.1,1.4,100.1,0.540397,2014,Bastrop
78602,25855,27.8,62.1,6.7,0.8,1,1.6,100,0.532166,2015,Bastrop
78602,27043,27.5,62.1,6.9,0.7,1.4,1.4,100,0.533532,2016,Bastrop
78602,28027,30.5,59.3,7,0.7,1.4,1.1,100,0.55006,2017,Bastrop
78610,22052,34.7,61.6,1.3,0.3,0.8,1.3,100,0.499724,2011,Buda
78610,24313,36.6,59.1,2,0.2,0.8,1.4,100.1,0.516099,2012,Buda
78610,25580,39.6,55.7,2.1,0.2,1.1,1.3,100,0.5322,2013,Buda
78610,26991,41.7,53.2,2.7,0.2,0.8,1.3,99.9,0.542121,2014,Buda
78610,29200,43.1,50.9,3.4,0.2,1.2,1.2,100,0.55371,2015,Buda
78610,30452,41.9,50.8,3.9,0,1.7,1.7,100,0.564276,2016,Buda
78610,32692,39.5,52.4,3.9,0,1.8,2.3,99.9,0.567025,2017,Buda
78612,11373,40,50.8,7.3,0,1.2,0.7,100,0.576414,2011,Cedar Creek
78612,11564,39.7,50.3,7.8,0,1.2,1,100,0.583054,2012,Cedar Creek
78612,10807,39,50.2,8.8,0,1.4,0.7,100.1,0.587907,2013,Cedar Creek
78612,12032,40.2,44.8,13.1,0.4,1.1,0.4,100,0.620378,2014,Cedar Creek
78612,11622,39.7,42.2,15.9,0.3,1.6,0.3,100,0.638752,2015,Cedar Creek
78612,12369,46,41.8,10.5,0.3,1,0.4,100,0.602526,2016,Cedar Creek
