,Zip,City,County,Type,Area,Value,Year,Total-Population,Hispanic,White,Black,Native,Asian,Other,Total,Diversity Index
0,76574,Taylor,Williamson County,Rural,North,106847.78,2011,17213,35.3,54.0,8.6,0.0,1.8,0.3,100.0,0.576062
1,76574,Taylor,Williamson County,Rural,North,106776.56,2012,17775,34.5,53.6,8.9,0.0,2.0,1.0,100.0,0.585258
2,76574,Taylor,Williamson County,Rural,North,107119.61,2013,18037,36.8,51.1,9.8,0.0,0.2,2.2,100.1,0.593363
3,76574,Taylor,Williamson County,Rural,North,107849.07,2014,18135,35.3,51.9,9.9,0.0,0.4,2.5,100.0,0.595588
4,76574,Taylor,Williamson County,Rural,North,109096.49,2015,18281,41.4,46.0,9.6,0.1,0.7,2.1,99.9,0.607297
5,76574,Taylor,Williamson County,Rural,North,111104.17,2016,18502,35.4,49.3,11.2,0.1,0.8,3.2,100.0,0.618002
6,76574,Taylor,Williamson County,Rural,North,113822.62,2017,18939,40.3,47.2,9.3,0.1,0.6,2.6,100.1,0.605445
7,78602,Bastrop,Bastrop County,Rural,East,115163.33,2011,24532,21.8,65.8,9.7,0.2,0.8,1.6,99.9,0.509779
8,78602,Bastrop,Bastrop County,Rural,East,115852.6,2012,25594,23.3,64.5,9.2,0.4,0.8,1.8,100.0,0.520818
9,78602,Bastrop,Bastrop County,Rural,East,116555.39,2013,26278,26.0,61.8,8.9,0.4,0.9,1.9,99.9,0.542097
10,78602,Bastrop,Bastrop County,Rural,East,117725.46,2014,25444,26.5,61.8,8.4,0.9,1.1,1.4,100.1,0.540397
11,78602,Bastrop,Bastrop County,Rural,East,119269.74,2015,25855,27.8,62.1,6.7,0.8,1.0,1.6,100.0,0.532166
12,78602,Bastrop,Bastrop County,Rural,East,121642.5,2016,27043,27.5,62.1,6.9,0.7,1.4,1.4,100.0,0.533532
13,78602,Bastrop,Bastrop County,Rural,East,124553.57,2017,28027,30.5,59.3,7.0,0.7,1.4,1.1,100.0,0.55006
14,78610,Buda,Hays County,Suburban,South,169191.11,2011,22052,34.7,61.6,1.3,0.3,0.8,1.3,100.0,0.499724
15,78610,Buda,Hays County,Suburban,South,170217.19,2012,24313,36.6,59.1,2.0,0.2,0.8,1.4,100.1,0.516099
16,78610,Buda,Hays County,Suburban,South,171498.53,2013,25580,39.6,55.7,2.1,0.2,1.1,1.3,100.0,0.5322
17,78610,Buda,Hays County,Suburban,South,173437.04,2014,26991,41.7,53.2,2.7,0.2,0.8,1.3,99.9,0.542121
