Zip,City,County,Type,Area,Value,Year
76574,Taylor,Williamson County,Rural,North,106847.78,2011
76574,Taylor,Williamson County,Rural,North,106776.56,2012
76574,Taylor,Williamson County,Rural,North,107119.61,2013
76574,Taylor,Williamson County,Rural,North,107849.07,2014
76574,Taylor,Williamson County,Rural,North,109096.49,2015
76574,Taylor,Williamson County,Rural,North,111104.17,2016
76574,Taylor,Williamson County,Rural,North,113822.62,2017
78602,Bastrop,Bastrop County,Rural,East,115163.33,2011
78602,Bastrop,Bastrop County,Rural,East,115852.6,2012
78602,Bastrop,Bastrop County,Rural,East,116555.39,2013
78602,Bastrop,Bastrop County,Rural,East,117725.46,2014
78602,Bastrop,Bastrop County,Rural,East,119269.74,2015
78602,Bastrop,Bastrop County,Rural,East,121642.5,2016
78602,Bastrop,Bastrop County,Rural,East,124553.57,2017
78610,Buda,Hays County,Suburban,South,169191.11,2011
78610,Buda,Hays County,Suburban,South,170217.19,2012
78610,Buda,Hays County,Suburban,South,171498.53,2013
78610,Buda,Hays County,Suburban,South,173437.04,2014
78610,Buda,Hays County,Suburban,South,176327.63,2015
78610,Buda,Hays County,Suburban,South,179742.08,2016
78610,Buda,Hays County,Suburban,South,183435.71,2017
78612,Cedar Creek,Bastrop County,Rural,East,114037.22,2011
78612,Cedar Creek,Bastrop County,Rural,East,115214.58,2012
78612,Cedar Creek,Bastrop County,Rural,East,116302.45,2013
78612,Cedar Creek,Bastrop County,Rural,East,117620.83,2014
78612,Cedar Creek,Bastrop County,Rural,East,119150.88,2015
78612,Cedar Creek,Bastrop County,Rural,East,121744.58,2016
78612,Cedar Creek,Bastrop County,Rural,East,125026.59,2017
78613,Cedar Park,Williamson County,Suburban,North,192908.33,2011
78613,Cedar Park,Williamson County,Suburban,North,193429.69,2012
78613,Cedar Park,Williamson County,Suburban,North,194310.78,2013
78613,Cedar Park,Williamson County,Suburban,North,196270.37,2014
78613,Cedar Park,Williamson County,Suburban,North,199062.28,2015
78613,Cedar Park,Williamson County,Suburban,North,202527.5,2016
78613,Cedar Park,Williamson County,Suburban,North,206590.08,2017
78617,Austin,Travis County,Suburban,East,120441.11,2011
78617,Austin,Travis County,Suburban,East,120333.33,2012
78617,Austin,Travis County,Suburban,East,120444.61,2013
78617,Austin,Travis County,Suburban,East,121178.24,2014
78617,Austin,Travis County,Suburban,East,122473.25,2015
78617,Austin,Travis County,Suburban,East,124471.67,2016
78617,Austin,Travis County,Suburban,East,127058.73,2017
78619,Driftwood,Hays County,Rural,South,336850,2011
78619,Driftwood,Hays County,Rural,South,337624.48,2012
78619,Driftwood,Hays County,Rural,South,340019.12,2013
78619,Driftwood,Hays County,Rural,South,343506.48,2014
78619,Driftwood,Hays County,Rural,South,348226.32,2015
78619,Driftwood,Hays County,Rural,South,354105,2016
78619,Driftwood,Hays County,Rural,South,359766.27,2017
78620,Dripping Springs,Hays County,Rural,South,254146.67,2011
78620,Dripping Springs,Hays County,Rural,South,255690.62,2012
78620,Dripping Springs,Hays County,Rural,South,257525,2013
78620,Dripping Springs,Hays County,Rural,South,260495.83,2014
78620,Dripping Springs,Hays County,Rural,South,264591.67,2015
78620,Dripping Springs,Hays County,Rural,South,270367.92,2016
78620,Dripping Springs,Hays County,Rural,South,276838.1,2017
78621,Elgin,Bastrop County,Rural,East,111208.33,2011
78621,Elgin,Bastrop County,Rural,East,111364.58,2012
78621,Elgin,Bastrop County,Rural,East,111510.29,2013
78621,Elgin,Bastrop County,Rural,East,112120.37,2014
78621,Elgin,Bastrop County,Rural,East,113278.07,2015
78621,Elgin,Bastrop County,Rural,East,115032.08,2016
78621,Elgin,Bastrop County,Rural,East,117398.81,2017
78626,Georgetown,Williamson County,Suburban,North,146210.56,2011
78626,Georgetown,Williamson County,Suburban,North,146435.42,2012
78626,Georgetown,Williamson County,Suburban,North,146811.27,2013
78626,Georgetown,Williamson County,Suburban,North,148042.59,2014
78626,Georgetown,Williamson County,Suburban,North,149907.89,2015
78626,Georgetown,Williamson County,Suburban,North,152535.83,2016
78626,Georgetown,Williamson County,Suburban,North,155823.02,2017
78628,Georgetown,Williamson County,Suburban,North,205372.78,2011
78628,Georgetown,Williamson County,Suburban,North,206577.08,2012
78628,Georgetown,Williamson County,Suburban,North,208377.45,2013
78628,Georgetown,Williamson County,Suburban,North,210742.13,2014
78628,Georgetown,Williamson County,Suburban,North,213759.65,2015
78628,Georgetown,Williamson County,Suburban,North,217742.92,2016
78628,Georgetown,Williamson County,Suburban,North,221893.25,2017
78633,Georgetown,Williamson County,Suburban,North,209279.44,2011
78633,Georgetown,Williamson County,Suburban,North,209988.54,2012
78633,Georgetown,Williamson County,Suburban,North,211386.76,2013
78633,Georgetown,Williamson County,Suburban,North,214051.39,2014
