Zip,City,County,Type,Area,2011,2012,2013,2014,2015,2016,2017
76574,Taylor,Williamson County,Rural,North,106847.78,106776.56,107119.61,107849.07,109096.49,111104.17,113822.62
78602,Bastrop,Bastrop County,Rural,East,115163.33,115852.60,116555.39,117725.46,119269.74,121642.50,124553.57
78610,Buda,Hays County,Suburban,South,169191.11,170217.19,171498.53,173437.04,176327.63,179742.08,183435.71
78612,Cedar Creek,Bastrop County,Rural,East,114037.22,115214.58,116302.45,117620.83,119150.88,121744.58,125026.59
78613,Cedar Park,Williamson County,Suburban,North,192908.33,193429.69,194310.78,196270.37,199062.28,202527.50,206590.08
78617,Austin,Travis County,Suburban,East,120441.11,120333.33,120444.61,121178.24,122473.25,124471.67,127058.73
78619,Driftwood,Hays County,Rural,South,336850.00,337624.48,340019.12,343506.48,348226.32,354105.00,359766.27
78620,Dripping Springs,Hays County,Rural,South,254146.67,255690.62,257525.00,260495.83,264591.67,270367.92,276838.10
78621,Elgin,Bastrop County,Rural,East,111208.33,111364.58,111510.29,112120.37,113278.07,115032.08,117398.81
78626,Georgetown,Williamson County,Suburban,North,146210.56,146435.42,146811.27,148042.59,149907.89,152535.83,155823.02
78628,Georgetown,Williamson County,Suburban,North,205372.78,206577.08,208377.45,210742.13,213759.65,217742.92,221893.25
78633,Georgetown,Williamson County,Suburban,North,209279.44,209988.54,211386.76,214051.39,217566.67,221635.00,225686.11
78634,Hutto,Williamson County,Suburban,North,144710.00,144751.56,145346.08,146727.31,148539.04,150869.58,153701.98
78640,Kyle,Hays County,Suburban,South,139470.00,139663.54,140169.61,141281.02,143004.39,145240.42,147932.94
78641,Leander,Williamson County,Suburban,North,165666.67,165729.69,166346.57,167725.93,169812.72,172537.92,176030.95
78642,Liberty Hill,Williamson County,Suburban,North,218231.11,219885.94,221584.31,224280.09,227993.86,232017.08,237365.48
78644,Lockhart,Caldwell County,Rural,South,92184.44,92981.77,93864.22,95004.17,96321.93,97872.92,99840.48
78645,Lago Vista,Travis County,Suburban,West,168929.44,169408.33,170341.18,171487.04,173409.65,175819.17,179467.06
78648,Luling,Caldwell County,Rural,South,57609.44,58555.21,59588.24,60795.83,62201.75,63763.33,65507.54
78652,San Leanna,Travis County,Suburban,South,173421.67,174557.29,176201.96,178657.41,182007.02,186942.92,192636.51
78653,Manor,Travis County,Suburban,East,132725.56,132582.81,133012.75,133803.24,135073.68,137208.33,139737.70
78655,Martindale,Caldwell County,Rural,South,122433.89,123488.54,124623.53,126363.43,128659.21,131090.00,134409.52
78659,Paige,Bastrop County,Rural,East,90918.33,92138.02,93118.63,94512.50,96956.58,100156.67,103202.78
78660,Pflugerville,Travis County,Suburban,North,157378.89,157928.65,158752.94,160013.89,161915.79,164554.58,167819.05
